t,h
1126259461.8434,-2.465661904761905e-22
1126259461.8435,-2.494479047619047e-22
1126259461.8436,-2.5229154761904756e-22
1126259461.8437,-2.5509711904761904e-22
1126259461.8438,-2.5786266666666664e-22
1126259461.8439,-2.6058916666666667e-22
1126259461.8439999,-2.632746666666666e-22
1126259461.8441,-2.659201428571428e-22
1126259461.8442,-2.6852364285714283e-22
1126259461.8443,-2.710861428571428e-22
1126259461.8444,-2.736056904761904e-22
1126259461.8445,-2.760813095238095e-22
1126259461.8446,-2.7851495238095243e-22
1126259461.8447,-2.809036904761905e-22
1126259461.8448,-2.8324849999999996e-22
1126259461.8449,-2.855474285714284e-22
1126259461.845,-2.878014523809524e-22
1126259461.8451,-2.900095952380952e-22
1126259461.8452,-2.9217185714285714e-22
1126259461.8453,-2.9428726190476187e-22
1126259461.8454,-2.963558095238096e-22
1126259461.8455,-2.9837749999999987e-22
1126259461.8456,-3.0035135714285697e-22
1126259461.8457,-3.0227738095238075e-22
1126259461.8458,-3.041555714285714e-22
1126259461.8459,-3.059859285714285e-22
1126259461.846,-3.07767476190476e-22
1126259461.8461,-3.0950119047619045e-22
1126259461.8462,-3.1118511904761905e-22
1126259461.8463,-3.128212142857141e-22
1126259461.8464,-3.1440752380952363e-22
1126259461.8465,-3.1594404761904757e-22
1126259461.8466,-3.1743176190476193e-22
1126259461.8467,-3.188696904761904e-22
1126259461.8468,-3.202568571428572e-22
1126259461.8469,-3.2159423809523805e-22
1126259461.847,-3.228818333333333e-22
1126259461.8471,-3.241176904761905e-22
1126259461.8472,-3.2530278571428555e-22
1126259461.8473,-3.2643711904761903e-22
1126259461.8474,-3.275187380952379e-22
1126259461.8474998,-3.2854959523809525e-22
1126259461.8476,-3.295277380952379e-22
1126259461.8477,-3.3045414285714265e-22
1126259461.8478,-3.3132783333333334e-22
1126259461.8479,-3.3214880952380935e-22
1126259461.848,-3.3291804761904764e-22
1126259461.8481,-3.336335952380952e-22
1126259461.8481998,-3.342954523809524e-22
1126259461.8483,-3.349045952380953e-22
1126259461.8484,-3.3546102380952374e-22
1126259461.8485,-3.359637619047619e-22
1126259461.8486,-3.364128095238094e-22
1126259461.8487,-3.368081666666667e-22
1126259461.8488,-3.3715080952380947e-22
1126259461.8488998,-3.3743878571428584e-22
1126259461.849,-3.376740476190474e-22
1126259461.8491,-3.378546428571427e-22
1126259461.8492,-3.379825238095237e-22
1126259461.8493,-3.380557380952381e-22
1126259461.8494,-3.3807526190476186e-22
1126259461.8495,-3.3804109523809504e-22
1126259461.8495998,-3.3795323809523805e-22
1126259461.8497,-3.378116904761904e-22
1126259461.8498,-3.3761645238095237e-22
1126259461.8499,-3.373684999999998e-22
1126259461.85,-3.3706588095238095e-22
1126259461.8501,-3.367095714285712e-22
1126259461.8502,-3.363005476190474e-22
1126259461.8502998,-3.3583783333333317e-22
1126259461.8504,-3.353224047619046e-22
1126259461.8505,-3.3475328571428567e-22
1126259461.8506,-3.34130476190476e-22
1126259461.8507,-3.334549523809524e-22
1126259461.8508,-3.327267142857142e-22
1126259461.8509,-3.3194576190476187e-22
1126259461.851,-3.3111209523809518e-22
1126259461.8511,-3.3022473809523807e-22
1126259461.8512,-3.2928564285714274e-22
1126259461.8513,-3.2829285714285704e-22
1126259461.8514,-3.2724833333333324e-22
1126259461.8515,-3.2615011904761885e-22
1126259461.8516,-3.2500016666666646e-22
1126259461.8517,-3.2379749999999996e-22
1126259461.8518,-3.225430952380952e-22
1126259461.8519,-3.2123695238095226e-22
1126259461.852,-3.198780952380952e-22
1126259461.8521,-3.184684761904762e-22
1126259461.8522,-3.17007119047619e-22
1126259461.8523,-3.154949999999999e-22
1126259461.8524,-3.1393211904761903e-22
1126259461.8525,-3.1231945238095243e-22
1126259461.8526,-3.106560238095236e-22
1126259461.8527,-3.089437857142858e-22
1126259461.8528,-3.0718176190476194e-22
1126259461.8529,-3.0536995238095217e-22
1126259461.853,-3.035103095238095e-22
1126259461.8531,-3.016018571428571e-22
1126259461.8532,-2.9964557142857145e-22
1126259461.8533,-2.976414523809522e-22
1126259461.8534,-2.955895e-22
1126259461.8535,-2.9348971428571426e-22
1126259461.8536,-2.913430714285714e-22
1126259461.8537,-2.891495714285714e-22
1126259461.8538,-2.869101904761905e-22
1126259461.8539,-2.8462395238095235e-22
1126259461.8539999,-2.822928095238095e-22
1126259461.8541,-2.7991578571428572e-22
1126259461.8542,-2.7749385714285713e-22
1126259461.8543,-2.75028e-22
1126259461.8544,-2.7251821428571425e-22
1126259461.8545,-2.699644999999999e-22
1126259461.8546,-2.6736783333333336e-22
1126259461.8547,-2.647291904761904e-22
1126259461.8548,-2.6204759523809523e-22
1126259461.8549,-2.5932499999999996e-22
1126259461.855,-2.5655945238095237e-22
1126259461.8551,-2.537538809523809e-22
1126259461.8552,-2.5090730952380953e-22
1126259461.8553,-2.480197380952381e-22
1126259461.8553998,-2.4509214285714283e-22
1126259461.8555,-2.4212452380952383e-22
1126259461.8556,-2.3911688095238093e-22
1126259461.8557,-2.3607019047619043e-22
1126259461.8558,-2.329844523809524e-22
1126259461.8559,-2.298596666666667e-22
1126259461.856,-2.266977857142857e-22
1126259461.8560998,-2.234988095238095e-22
1126259461.8562,-2.2026176190476195e-22
1126259461.8563,-2.169895714285714e-22
1126259461.8564,-2.1368126190476187e-22
1126259461.8565,-2.1033780952380947e-22
1126259461.8566,-2.0696116666666663e-22
1126259461.8567,-2.0355035714285713e-22
1126259461.8567998,-2.0010635714285713e-22
1126259461.8569,-1.9663014285714283e-22
1126259461.8569999,-1.931226904761905e-22
1126259461.8571,-1.8958399999999998e-22
1126259461.8572,-1.860150476190476e-22
1126259461.8573,-1.824158333333333e-22
1126259461.8574,-1.787873333333333e-22
1126259461.8574998,-1.7512954761904758e-22
1126259461.8576,-1.7144442857142852e-22
1126259461.8577,-1.6773197619047618e-22
1126259461.8578,-1.6399121428571423e-22
1126259461.8579,-1.6022507142857137e-22
1126259461.858,-1.5643257142857142e-22
1126259461.8581,-1.5261566666666662e-22
1126259461.8581998,-1.4877338095238094e-22
1126259461.8583,-1.449076666666666e-22
1126259461.8584,-1.4101852380952382e-22
1126259461.8585,-1.3710595238095235e-22
1126259461.8586,-1.331719047619047e-22
1126259461.8587,-1.2921540476190476e-22
1126259461.8588,-1.2523840476190473e-22
1126259461.8589,-1.2124090476190474e-22
1126259461.859,-1.1722388095238093e-22
1126259461.8591,-1.1318635714285714e-22
1126259461.8592,-1.091312619047619e-22
1126259461.8593,-1.0505664285714284e-22
1126259461.8594,-1.0096542857142857e-22
1126259461.8595,-9.685664285714285e-23
1126259461.8596,-9.273126190476189e-23
1126259461.8597,-8.85902619047619e-23
1126259461.8598,-8.443364285714283e-23
1126259461.8599,-8.026238095238095e-23
1126259461.86,-7.60774523809524e-23
1126259461.8601,-7.187885714285716e-23
1126259461.8602,-6.766854761904762e-23
1126259461.8603,-6.344554761904758e-23
1126259461.8604,-5.921180952380954e-23
1126259461.8605,-5.496733333333332e-23
1126259461.8606,-5.0714071428571426e-23
1126259461.8607,-4.645104761904761e-23
1126259461.8608,-4.2180214285714283e-23
1126259461.8609,-3.790254761904762e-23
1126259461.861,-3.361804761904762e-23
1126259461.8611,-2.932769047619048e-23
1126259461.8612,-2.5031476190476193e-23
